"ID"	"Tissue"	"Histology"	"State"
"TCGA.85.8353.01A.21R.2296.07"	"TCGA.85.8353.01A.21R.2296.07"	"Tumor"	"LUSC"	"S01"
"TCGA.K4.A5RI.11A.11R.A28M.07"	"TCGA.K4.A5RI.11A.11R.A28M.07"	"Normal"	"BLCA"	"S01"
"TCGA.C5.A1BK.01B.11R.A13Y.07"	"TCGA.C5.A1BK.01B.11R.A13Y.07"	"Tumor"	"CESC"	"S01"
"TCGA.A6.5659.11A.01R.1653.07"	"TCGA.A6.5659.11A.01R.1653.07"	"Normal"	"COAD"	"S01"
"TCGA.49.AAR0.01A.21R.A39D.07"	"TCGA.49.AAR0.01A.21R.A39D.07"	"Tumor"	"LUAD"	"S01"
"TCGA.2A.AAYO.01A.11R.A41O.07"	"TCGA.2A.AAYO.01A.11R.A41O.07"	"Tumor"	"PRAD"	"S01"
"TCGA.AQ.A04J.01A.02R.A034.07"	"TCGA.AQ.A04J.01A.02R.A034.07"	"Tumor"	"BRCA"	"S01"
"TCGA.CV.7248.01A.11R.2016.07"	"TCGA.CV.7248.01A.11R.2016.07"	"Tumor"	"HNSC"	"S01"
"TCGA.HU.A4GJ.01A.11R.A251.31"	"TCGA.HU.A4GJ.01A.11R.A251.31"	"Tumor"	"STAD"	"S01"
"TCGA.CR.6487.01A.11R.1873.07"	"TCGA.CR.6487.01A.11R.1873.07"	"Tumor"	"HNSC"	"S01"
"TCGA.49.AAQV.01A.11R.A39D.07"	"TCGA.49.AAQV.01A.11R.A39D.07"	"Tumor"	"LUAD"	"S01"
"TCGA.BH.A0H5.01A.21R.A115.07"	"TCGA.BH.A0H5.01A.21R.A115.07"	"Tumor"	"BRCA"	"S01"
"TCGA.K4.A3WS.01A.11R.A22U.07"	"TCGA.K4.A3WS.01A.11R.A22U.07"	"Tumor"	"BLCA"	"S01"
"TCGA.97.8172.01A.11R.2287.07"	"TCGA.97.8172.01A.11R.2287.07"	"Tumor"	"LUAD"	"S01"
"TCGA.MP.A4TI.01A.21R.A24X.07"	"TCGA.MP.A4TI.01A.21R.A24X.07"	"Tumor"	"LUAD"	"S01"
"TCGA.61.1740.01A.01R.1567.13"	"TCGA.61.1740.01A.01R.1567.13"	"Tumor"	"OV"	"S01"
"TCGA.EJ.7331.11A.01R.2118.07"	"TCGA.EJ.7331.11A.01R.2118.07"	"Normal"	"PRAD"	"S01"
"TCGA.A8.A0A7.01A.11R.A00Z.07"	"TCGA.A8.A0A7.01A.11R.A00Z.07"	"Tumor"	"BRCA"	"S01"
"TCGA.FL.A1YF.11A.12R.A16F.07"	"TCGA.FL.A1YF.11A.12R.A16F.07"	"Normal"	"UCEC"	"S01"
"TCGA.AN.A0FN.01A.11R.A034.07"	"TCGA.AN.A0FN.01A.11R.A034.07"	"Tumor"	"BRCA"	"S01"
"TCGA.BJ.A2N9.11A.11R.A18C.07"	"TCGA.BJ.A2N9.11A.11R.A18C.07"	"Normal"	"THCA"	"S01"
"TCGA.BT.A20U.11A.11R.A14Y.07"	"TCGA.BT.A20U.11A.11R.A14Y.07"	"Normal"	"BLCA"	"S01"
"TCGA.CH.5766.01A.11R.1580.07"	"TCGA.CH.5766.01A.11R.1580.07"	"Tumor"	"PRAD"	"S01"
"TCGA.CR.5250.01A.01R.1514.07"	"TCGA.CR.5250.01A.01R.1514.07"	"Tumor"	"HNSC"	"S01"
"TCGA.CV.5443.01A.01R.1514.07"	"TCGA.CV.5443.01A.01R.1514.07"	"Tumor"	"HNSC"	"S01"
"TCGA.50.5941.01A.11R.1755.07"	"TCGA.50.5941.01A.11R.1755.07"	"Tumor"	"LUAD"	"S01"
"TCGA.BH.A42U.01A.12R.A24H.07"	"TCGA.BH.A42U.01A.12R.A24H.07"	"Tumor"	"BRCA"	"S01"
"TCGA.D5.6930.01A.11R.1928.07"	"TCGA.D5.6930.01A.11R.1928.07"	"Tumor"	"COAD"	"S01"
"TCGA.L5.A8NG.01A.11R.A37I.31"	"TCGA.L5.A8NG.01A.11R.A37I.31"	"Tumor"	"ESCA"	"S01"
"TCGA.KK.A8I4.01A.11R.A36G.07"	"TCGA.KK.A8I4.01A.11R.A36G.07"	"Tumor"	"PRAD"	"S01"
"TCGA.QG.A5Z2.01A.11R.A28H.07"	"TCGA.QG.A5Z2.01A.11R.A28H.07"	"Tumor"	"COAD"	"S01"
"TCGA.90.7766.01A.21R.2125.07"	"TCGA.90.7766.01A.21R.2125.07"	"Tumor"	"LUSC"	"S01"
"TCGA.VS.A959.01A.11R.A42T.07"	"TCGA.VS.A959.01A.11R.A42T.07"	"Tumor"	"CESC"	"S01"
"TCGA.VQ.A8P8.01A.11R.A39E.31"	"TCGA.VQ.A8P8.01A.11R.A39E.31"	"Tumor"	"STAD"	"S01"
"TCGA.29.1781.01A.01R.1567.13"	"TCGA.29.1781.01A.01R.1567.13"	"Tumor"	"OV"	"S01"
"TCGA.HZ.7920.01A.11R.2204.07"	"TCGA.HZ.7920.01A.11R.2204.07"	"Tumor"	"PAAD"	"S01"
"TCGA.EL.A3H1.11A.11R.A21D.07"	"TCGA.EL.A3H1.11A.11R.A21D.07"	"Normal"	"THCA"	"S01"
"TCGA.CR.5248.01A.01R.2016.07"	"TCGA.CR.5248.01A.01R.2016.07"	"Tumor"	"HNSC"	"S01"
"TCGA.FD.A6TG.01A.11R.A32O.07"	"TCGA.FD.A6TG.01A.11R.A32O.07"	"Tumor"	"BLCA"	"S01"
"TCGA.E2.A1IU.01A.11R.A14D.07"	"TCGA.E2.A1IU.01A.11R.A14D.07"	"Tumor"	"BRCA"	"S01"
"TCGA.91.8497.01A.11R.2403.07"	"TCGA.91.8497.01A.11R.2403.07"	"Tumor"	"LUAD"	"S01"
"TCGA.05.4410.01A.21R.1858.07"	"TCGA.05.4410.01A.21R.1858.07"	"Tumor"	"LUAD"	"S01"
"TCGA.BR.8686.01A.11R.2402.13"	"TCGA.BR.8686.01A.11R.2402.13"	"Tumor"	"STAD"	"S01"
"TCGA.VS.A9UM.01A.11R.A42T.07"	"TCGA.VS.A9UM.01A.11R.A42T.07"	"Tumor"	"CESC"	"S01"
"TCGA.CV.7422.01A.21R.2081.07"	"TCGA.CV.7422.01A.21R.2081.07"	"Tumor"	"HNSC"	"S01"
"TCGA.DJ.A3UZ.01A.11R.A22U.07"	"TCGA.DJ.A3UZ.01A.11R.A22U.07"	"Tumor"	"THCA"	"S01"
"TCGA.58.8386.11A.01R.2296.07"	"TCGA.58.8386.11A.01R.2296.07"	"Normal"	"LUSC"	"S01"
"TCGA.38.A44F.01A.11R.A24H.07"	"TCGA.38.A44F.01A.11R.A24H.07"	"Tumor"	"LUAD"	"S01"
"TCGA.CV.7242.01A.11R.2016.07"	"TCGA.CV.7242.01A.11R.2016.07"	"Tumor"	"HNSC"	"S01"
